"test, platform","weekday","average"
"('a11yr', 'OSX10.8')","Saturday","403.910"
"('a11yr', 'Linux')","Monday","7.819"
"('a11yr', 'Linux')","Tuesday","10.284"
"('a11yr', 'Linux')","Friday","8.753"
"('a11yr', 'Linux')","Wednesday","8.860"
"('a11yr', 'Linux')","Thursday","8.493"
"('a11yr', 'Linux')","Sunday","5.256"
"('a11yr', 'Linux')","Saturday","6.021"
"('tp5o', 'OSX64')","Monday","57.540"
"('tp5o', 'OSX64')","Tuesday","33.486"
"('tp5o', 'OSX64')","Friday","23.665"
"('tp5o', 'OSX64')","Wednesday","24.544"
"('tp5o', 'OSX64')","Thursday","424.411"
"('tp5o', 'OSX64')","Sunday","4.812"
"('tp5o', 'OSX64')","Saturday","10.052"
"('tp5o', 'Win8')","Monday","18.494"
"('tp5o', 'Win8')","Tuesday","25.668"
"('tp5o', 'Win8')","Friday","6.985"
"('tp5o', 'Win8')","Wednesday","8.567"
"('tp5o', 'Win8')","Thursday","11.151"
"('tp5o', 'Win8')","Sunday","5.627"
"('tp5o', 'Win8')","Saturday","5.143"
"('tp5o', 'WinXP')","Monday","84.737"
"('tp5o', 'WinXP')","Tuesday","57.863"
"('tp5o', 'WinXP')","Friday","40.016"
"('tp5o', 'WinXP')","Wednesday","64.785"
"('tp5o', 'WinXP')","Thursday","47.249"
"('tp5o', 'WinXP')","Sunday","86.230"
"('tp5o', 'WinXP')","Saturday","14.629"
"('tp5o', 'Win7')","Monday","27.210"
"('tp5o', 'Win7')","Tuesday","41.540"
"('tp5o', 'Win7')","Friday","17.855"
"('tp5o', 'Win7')","Wednesday","20.573"
"('tp5o', 'Win7')","Thursday","21.161"
"('tp5o', 'Win7')","Sunday","20.508"
"('tp5o', 'Win7')","Saturday","16.369"
"('tp5o', 'Linux64')","Monday","21.585"
"('tp5o', 'Linux64')","Tuesday","16.671"
"('tp5o', 'Linux64')","Friday","7.431"
"('tp5o', 'Linux64')","Wednesday","13.427"
"('tp5o', 'Linux64')","Thursday","328.436"
"('tp5o', 'Linux64')","Sunday","4.549"
"('tp5o', 'Linux64')","Saturday","6.536"
"('tp5o', 'OSX10.8')","Monday","93.639"
"('tp5o', 'OSX10.8')","Tuesday","106.742"
"('tp5o', 'OSX10.8')","Friday","234.109"
"('tp5o', 'OSX10.8')","Wednesday","86.683"
"('tp5o', 'OSX10.8')","Thursday","411.784"
"('tp5o', 'OSX10.8')","Sunday","179.310"
"('tp5o', 'OSX10.8')","Saturday","59.548"
"('tp5o', 'Linux')","Monday","24.791"
"('tp5o', 'Linux')","Tuesday","18.641"
"('tp5o', 'Linux')","Friday","9.565"
"('tp5o', 'Linux')","Wednesday","18.570"
"('tp5o', 'Linux')","Thursday","459.256"
"('tp5o', 'Linux')","Sunday","7.782"
